Date,Price,Open,High,Low,Vol.,Change %,Index
7/8/2012,"1,356.80","1,354.70","1,361.50","1,325.40",,0.16%,S&P 500
7/1/2012,"1,354.70","1,362.30","1,374.80","1,348.00",,-0.55%,S&P 500
6/24/2012,"1,362.20","1,334.90","1,362.20","1,309.30",,2.04%,S&P 500
6/17/2012,"1,335.00","1,342.40","1,363.50","1,324.40",,-0.58%,S&P 500
6/10/2012,"1,342.80","1,325.70","1,343.30","1,306.60",,1.29%,S&P 500
6/3/2012,"1,325.70","1,278.30","1,329.00","1,266.70",,3.73%,S&P 500
5/27/2012,"1,278.00","1,318.90","1,334.90","1,277.20",,-3.02%,S&P 500
5/20/2012,"1,317.80","1,295.70","1,328.50","1,295.70",,1.74%,S&P 500
5/13/2012,"1,295.20","1,351.90","1,351.90","1,292.00",,-4.30%,S&P 500
5/6/2012,"1,353.40","1,368.80","1,373.90","1,343.10",,-1.15%,S&P 500
4/29/2012,"1,369.10","1,403.30","1,415.30","1,368.00",,-2.44%,S&P 500
4/22/2012,"1,403.40","1,378.50","1,406.60","1,358.80",,1.81%,S&P 500
4/15/2012,"1,378.50","1,370.30","1,392.80","1,365.40",,0.60%,S&P 500
4/8/2012,"1,370.30","1,397.50","1,397.50","1,357.40",,-1.99%,S&P 500
4/1/2012,"1,398.10","1,408.50","1,422.40","1,392.90",,-0.74%,S&P 500
3/25/2012,"1,408.50","1,397.10","1,419.20","1,391.60",,0.82%,S&P 500
3/18/2012,"1,397.10","1,404.20","1,414.00","1,386.90",,-0.51%,S&P 500
3/11/2012,"1,404.20","1,370.80","1,405.90","1,366.70",,2.43%,S&P 500
3/4/2012,"1,370.90","1,369.60","1,374.80","1,340.00",,0.09%,S&P 500
2/26/2012,"1,369.60","1,365.20","1,378.00","1,354.90",,0.29%,S&P 500
2/19/2012,"1,365.70","1,361.20","1,368.90","1,352.30",,0.33%,S&P 500
2/12/2012,"1,361.20","1,343.10","1,363.40","1,340.80",,1.39%,S&P 500
2/5/2012,"1,342.60","1,344.30","1,354.30","1,335.90",,-0.17%,S&P 500
1/29/2012,"1,344.90","1,316.20","1,345.30","1,300.50",,2.17%,S&P 500
1/22/2012,"1,316.30","1,315.30","1,333.50","1,306.10",,0.07%,S&P 500
1/15/2012,"1,315.40","1,290.20","1,315.50","1,290.20",,2.04%,S&P 500
1/8/2012,"1,289.10","1,277.80","1,296.80","1,274.50",,0.88%,S&P 500
1/1/2012,"1,277.80","1,258.90","1,284.60","1,258.90",,1.61%,S&P 500
12/25/2011,"1,257.60","1,265.00","1,269.40","1,248.60",,-0.61%,S&P 500
12/18/2011,"1,265.30","1,219.70","1,265.40","1,202.40",,3.74%,S&P 500
12/11/2011,"1,219.70","1,255.00","1,255.00","1,209.50",,-2.83%,S&P 500
12/4/2011,"1,255.20","1,244.30","1,267.10","1,231.50",,0.88%,S&P 500
11/27/2011,"1,244.30","1,158.70","1,260.10","1,158.70",,7.39%,S&P 500
11/20/2011,"1,158.70","1,215.60","1,215.60","1,158.70",,-4.69%,S&P 500
11/13/2011,"1,215.70","1,263.80","1,264.20","1,209.40",,-3.81%,S&P 500
11/6/2011,"1,263.80","1,253.20","1,277.50","1,226.60",,0.85%,S&P 500
10/30/2011,"1,253.20","1,285.00","1,285.00","1,215.40",,-2.48%,S&P 500
10/23/2011,"1,285.10","1,238.70","1,292.70","1,221.10",,3.79%,S&P 500
10/16/2011,"1,238.20","1,224.50","1,239.00","1,191.50",,1.11%,S&P 500
10/9/2011,"1,224.60","1,158.20","1,224.60","1,158.20",,5.98%,S&P 500
10/2/2011,"1,155.50","1,131.20","1,171.40","1,074.80",,2.13%,S&P 500
9/25/2011,"1,131.40","1,136.90","1,195.90","1,131.10",,-0.44%,S&P 500
9/18/2011,"1,136.40","1,215.00","1,220.40","1,114.20",,-6.55%,S&P 500
9/11/2011,"1,216.00","1,153.50","1,220.10","1,136.10",,5.35%,S&P 500
9/4/2011,"1,154.20","1,174.00","1,204.40","1,140.10",,-1.69%,S&P 500
8/28/2011,"1,174.00","1,177.90","1,230.70","1,170.60",,-0.24%,S&P 500
8/21/2011,"1,176.80","1,123.50","1,190.70","1,121.10",,4.74%,S&P 500
8/14/2011,"1,123.50","1,178.90","1,208.50","1,122.00",,-4.69%,S&P 500
8/7/2011,"1,178.80","1,198.50","1,198.50","1,101.50",,-1.72%,S&P 500
7/31/2011,"1,199.40","1,292.60","1,307.40","1,168.10",,-7.19%,S&P 500
7/24/2011,"1,292.30","1,344.30","1,344.30","1,282.90",,-3.92%,S&P 500
7/17/2011,"1,345.00","1,315.90","1,347.00","1,295.90",,2.20%,S&P 500
7/10/2011,"1,316.10","1,343.30","1,343.30","1,306.50",,-2.06%,S&P 500
7/3/2011,"1,343.80","1,339.60","1,356.50","1,330.90",,0.31%,S&P 500
6/26/2011,"1,339.70","1,268.40","1,341.00","1,267.50",,5.61%,S&P 500
6/19/2011,"1,268.50","1,271.50","1,298.60","1,262.90",,-0.24%,S&P 500
6/12/2011,"1,271.50","1,271.30","1,292.50","1,258.10",,0.04%,S&P 500
6/5/2011,"1,271.00","1,300.30","1,300.30","1,268.30",,-2.25%,S&P 500
5/29/2011,"1,300.20","1,331.10","1,345.20","1,297.90",,-2.32%,S&P 500
5/22/2011,"1,331.10","1,333.10","1,334.60","1,311.80",,-0.17%,S&P 500
5/15/2011,"1,333.30","1,334.80","1,346.80","1,318.50",,-0.34%,S&P 500
5/8/2011,"1,337.80","1,340.20","1,359.40","1,332.00",,-0.18%,S&P 500
5/1/2011,"1,340.20","1,365.20","1,370.60","1,329.20",,-1.72%,S&P 500
4/24/2011,"1,363.60","1,337.10","1,364.60","1,331.50",,1.96%,S&P 500
4/17/2011,"1,337.40","1,313.30","1,337.50","1,294.70",,1.34%,S&P 500
4/10/2011,"1,319.70","1,329.00","1,333.80","1,302.40",,-0.64%,S&P 500
4/3/2011,"1,328.20","1,333.60","1,339.50","1,322.90",,-0.32%,S&P 500
3/27/2011,"1,332.40","1,315.50","1,337.80","1,305.30",,1.42%,S&P 500
3/20/2011,"1,313.80","1,281.70","1,319.20","1,281.70",,2.70%,S&P 500
3/13/2011,"1,279.20","1,301.20","1,301.20","1,249.00",,-1.92%,S&P 500
3/6/2011,"1,304.30","1,322.70","1,327.70","1,292.00",,-1.28%,S&P 500
2/27/2011,"1,321.20","1,321.60","1,332.30","1,302.60",,0.10%,S&P 500
2/20/2011,"1,319.90","1,338.90","1,338.90","1,294.30",,-1.72%,S&P 500
2/13/2011,"1,343.00","1,328.70","1,344.10","1,324.60",,1.04%,S&P 500
2/6/2011,"1,329.20","1,311.80","1,330.80","1,311.70",,1.40%,S&P 500
1/30/2011,"1,310.90","1,276.50","1,311.00","1,276.50",,2.71%,S&P 500
1/23/2011,"1,276.30","1,283.30","1,302.70","1,275.10",,-0.55%,S&P 500
1/16/2011,"1,283.30","1,293.20","1,296.10","1,271.30",,-0.77%,S&P 500
1/9/2011,"1,293.20","1,270.80","1,293.20","1,262.20",,1.71%,S&P 500
1/2/2011,"1,271.50","1,257.60","1,278.20","1,257.60",,1.11%,S&P 500
12/26/2010,"1,257.60","1,254.70","1,262.60","1,251.50",,0.06%,S&P 500
12/19/2010,"1,256.80","1,245.80","1,259.40","1,241.50",,1.04%,S&P 500
12/12/2010,"1,243.90","1,242.50","1,246.70","1,232.80",,0.28%,S&P 500
12/5/2010,"1,240.40","1,223.90","1,240.40","1,219.50",,1.28%,S&P 500
11/28/2010,"1,224.70","1,189.10","1,225.60","1,173.60",,2.97%,S&P 500
11/21/2010,"1,189.40","1,198.10","1,198.90","1,176.90",,-0.86%,S&P 500
11/14/2010,"1,199.70","1,200.40","1,207.40","1,173.00",,0.04%,S&P 500
11/7/2010,"1,199.20","1,223.20","1,226.80","1,194.10",,-2.17%,S&P 500
10/31/2010,"1,225.80","1,185.70","1,227.10","1,177.70",,3.59%,S&P 500
10/24/2010,"1,183.30","1,184.70","1,196.10","1,171.70",,0.02%,S&P 500
10/17/2010,"1,183.10","1,176.80","1,189.40","1,159.70",,0.59%,S&P 500
10/10/2010,"1,176.20","1,165.30","1,184.40","1,155.70",,0.94%,S&P 500
10/3/2010,"1,165.20","1,145.00","1,167.70","1,131.90",,1.66%,S&P 500
9/26/2010,"1,146.20","1,148.60","1,157.20","1,132.10",,-0.22%,S&P 500
9/19/2010,"1,148.70","1,126.60","1,148.90","1,122.80",,2.05%,S&P 500
9/12/2010,"1,125.60","1,113.40","1,131.50","1,113.40",,1.45%,S&P 500
9/5/2010,"1,109.50","1,102.60","1,110.90","1,091.20",,0.45%,S&P 500
8/29/2010,"1,104.50","1,062.90","1,105.10","1,040.90",,3.75%,S&P 500
8/22/2010,"1,064.60","1,073.40","1,081.60","1,039.70",,-0.66%,S&P 500
8/15/2010,"1,071.70","1,077.50","1,100.10","1,063.90",,-0.69%,S&P 500
8/8/2010,"1,079.20","1,122.80","1,129.20","1,076.70",,-3.78%,S&P 500
8/1/2010,"1,121.60","1,107.50","1,128.80","1,107.20",,1.82%,S&P 500
7/25/2010,"1,101.60","1,102.90","1,121.00","1,088.00",,-0.10%,S&P 500
7/18/2010,"1,102.70","1,066.80","1,103.70","1,056.90",,3.55%,S&P 500
7/11/2010,"1,064.90","1,077.20","1,099.50","1,063.30",,-1.22%,S&P 500
7/4/2010,"1,078.00","1,028.10","1,078.20","1,018.40",,5.42%,S&P 500
6/27/2010,"1,022.60","1,077.50","1,082.60","1,010.90",,-5.03%,S&P 500
6/20/2010,"1,076.80","1,122.80","1,131.20","1,067.90",,-3.64%,S&P 500
6/13/2010,"1,117.50","1,095.00","1,121.00","1,089.00",,2.37%,S&P 500
6/6/2010,"1,091.60","1,065.80","1,092.20","1,042.20",,2.51%,S&P 500
5/30/2010,"1,064.90","1,087.30","1,105.70","1,060.50",,-2.25%,S&P 500
5/23/2010,"1,089.40","1,084.80","1,103.50","1,040.80",,0.16%,S&P 500
5/16/2010,"1,087.70","1,136.50","1,148.70","1,055.90",,-4.23%,S&P 500
5/9/2010,"1,135.70","1,122.30","1,173.60","1,122.30",,2.23%,S&P 500
5/2/2010,"1,110.90","1,188.60","1,205.10","1,065.80",,-6.39%,S&P 500
4/25/2010,"1,186.70","1,217.10","1,219.80","1,181.60",,-2.51%,S&P 500
4/18/2010,"1,217.30","1,192.10","1,217.30","1,183.70",,2.11%,S&P 500
4/11/2010,"1,192.10","1,194.90","1,213.90","1,186.80",,-0.19%,S&P 500
4/4/2010,"1,194.40","1,178.70","1,194.70","1,175.10",,1.38%,S&P 500
3/28/2010,"1,178.10","1,167.70","1,181.40","1,165.80",,0.99%,S&P 500
3/21/2010,"1,166.60","1,157.20","1,180.70","1,152.90",,0.58%,S&P 500
3/14/2010,"1,159.90","1,148.50","1,169.80","1,141.50",,0.86%,S&P 500
3/7/2010,"1,150.00","1,138.40","1,153.40","1,134.90",,0.99%,S&P 500
2/28/2010,"1,138.70","1,105.40","1,139.40","1,105.40",,3.10%,S&P 500
2/21/2010,"1,104.50","1,110.00","1,112.30","1,086.00",,-0.42%,S&P 500
2/14/2010,"1,109.20","1,079.10","1,112.40","1,079.10",,3.13%,S&P 500
2/7/2010,"1,075.50","1,065.50","1,080.00","1,056.50",,0.87%,S&P 500
1/31/2010,"1,066.20","1,073.90","1,104.70","1,044.50",,-0.72%,S&P 500
1/24/2010,"1,073.90","1,092.40","1,103.70","1,071.60",,-1.64%,S&P 500
1/17/2010,"1,091.80","1,136.00","1,150.50","1,090.20",,-3.89%,S&P 500
1/10/2010,"1,136.00","1,146.00","1,150.40","1,131.40",,-0.79%,S&P 500
1/3/2010,"1,145.00","1,116.60","1,145.40","1,116.60",,2.68%,S&P 500
12/27/2009,"1,115.10","1,127.50","1,130.40","1,114.80",,-1.01%,S&P 500
12/20/2009,"1,126.50","1,105.30","1,126.50","1,105.30",,2.18%,S&P 500
12/13/2009,"1,102.50","1,107.80","1,116.20","1,093.90",,-0.35%,S&P 500
12/6/2009,"1,106.40","1,105.50","1,110.70","1,085.90",,0.04%,S&P 500
11/29/2009,"1,106.00","1,091.10","1,119.10","1,086.20",,1.33%,S&P 500
11/22/2009,"1,091.50","1,094.90","1,112.40","1,083.70",,0.01%,S&P 500
11/15/2009,"1,091.40","1,094.10","1,113.70","1,086.80",,-0.19%,S&P 500
11/8/2009,"1,093.50","1,072.30","1,105.40","1,072.30",,2.26%,S&P 500
11/1/2009,"1,069.30","1,036.20","1,071.50","1,029.40",,3.19%,S&P 500
10/25/2009,"1,036.20","1,080.40","1,091.80","1,033.40",,-4.02%,S&P 500
10/18/2009,"1,079.60","1,088.20","1,101.40","1,074.30",,-0.74%,S&P 500
10/11/2009,"1,087.70","1,071.60","1,096.60","1,066.70",,1.51%,S&P 500
10/4/2009,"1,071.50","1,026.90","1,071.50","1,025.90",,4.52%,S&P 500
9/27/2009,"1,025.20","1,045.40","1,069.60","1,020.00",,-1.84%,S&P 500
9/20/2009,"1,044.40","1,067.10","1,080.20","1,041.20",,-2.24%,S&P 500
